title,price,link
Cupid Scrubs® Cloth Face Mask 3-Pack,"$1.94
clearance
$12.99 Reg.",/product/prd-4437163/cupid-cloth-face-mask-3-pk.jsp?color=Cupid Nude&isClearance=true&prdPV=1
Adult Bespoke Patriotic Washable Face Mask,"$1.99
clearance
$9.99 Reg.",/product/prd-4504572/adult-bespoke-washable-solid-color-face-mask.jsp?color=Waving Flags Print&isClearance=true&prdPV=2
Urban Decay Stay Naked Weightless Foundation,"$10.00
sale
$40.00 Reg.",/product/prd-5125287/stay-naked-weightless-foundation.jsp?prdPV=1
House of Lashes Cruelty-Free Faux Mink Volumizing False Eyelashes,"$5.00
sale
$15.00 Reg.",/product/prd-5103364/cruelty-free-faux-mink-volumizing-false-eyelashes.jsp?color=Marigold&prdPV=2
SEPHORA COLLECTION Dry Body Brush,"$6.00
sale
$16.00 Reg.",/product/prd-5104189/dry-body-brush.jsp?prdPV=3
SEPHORA COLLECTION Ultimate Gel Waterproof Eyeliner Pencil,"$5.00
sale
$13.00 Reg.",/product/prd-5225825/ultimate-gel-waterproof-eyeliner-pencil.jsp?prdPV=4
Lilly Lashes Lilly Lashes Faux 3D Lashes,"$11.00
sale
$28.00 Reg.",/product/prd-5104844/lilly-lashes-faux-3d-lashes.jsp?color=Powell Street&prdPV=5
Peter Thomas Roth PRO Strength Niacinamide Discoloration Treatment,"$35.20
sale
$88.00 Reg.",/product/prd-5060863/pro-strength-niacinamide-discoloration-treatment.jsp?prdPV=6
SEPHORA COLLECTION Bright Future Gel Serum Under Eye Concealer,"$6.00
sale
$15.00 Reg.",/product/prd-5103097/bright-future-gel-serum-under-eye-concealer.jsp?color=Devils Food&prdPV=7
SEPHORA COLLECTION Rose Quartz Facial Roller,"$9.00
sale
$22.00 Reg.",/product/prd-5833270/rose-quartz-facial-roller.jsp?prdPV=8
SEPHORA COLLECTION Jade Facial Roller,"$9.00
sale
$22.00 Reg.",/product/prd-5758164/jade-facial-roller.jsp?prdPV=9
SEPHORA COLLECTION Rose Quartz Facial Roller,"$9.00
sale
$22.00 Reg.",/product/prd-5105950/rose-quartz-facial-roller.jsp?prdPV=10
SEPHORA COLLECTION Blue Aventurine De-Puffing Facial Roller,"$9.00
sale
$20.00 Reg.",/product/prd-5105949/blue-aventurine-de-puffing-facial-roller.jsp?prdPV=11
SEPHORA COLLECTION Cream Lip Stain Liquid Lipstick,"$7.50
sale
$15.00 Reg.",/product/prd-5098974/cream-lip-stain-liquid-lipstick.jsp?color=Always Red&prdPV=12
Mugler Alien Goddess Eau de Parfum Intense,"$47.50 - $92.50
sale
$95.00 - $185.00 Reg.",/product/prd-5827585/alien-goddess-eau-de-parfum-intense.jsp?prdPV=13
Rare Beauty by Selena Gomez With Gratitude Dewy Lip Balm,"$8.00
sale
$16.00 Reg.",/product/prd-5077950/with-gratitude-dewy-lip-balm.jsp?prdPV=14
SEPHORA COLLECTION Complete Makeup Brush Set,"$24.50
sale
$49.00 Reg.",/product/prd-5245124/complete-makeup-brush-set.jsp?prdPV=15
ONE/SIZE by Patrick Starrr Made for Shade Bronze & Sculpt Trio Palette,"$19.00
sale
$38.00 Reg.",/product/prd-5591304/made-for-shade-bronze-sculpt-trio-palette.jsp?color=Med Dark&prdPV=16
MAKE UP FOR EVER Rouge Artist Lipstick,"$12.50
sale
$25.00 Reg.",/product/prd-5074346/rouge-artist-lipstick.jsp?color=320 Virtous Goji&prdPV=17
ONE/SIZE by Patrick Starrr Turn Up the Base Butter Silk Concealer,"$14.00
sale
$28.00 Reg.",/product/prd-5078194/turn-up-the-base-butter-silk-concealer.jsp?color=Deep 3&prdPV=18
Rare Beauty by Selena Gomez Brow Harmony Shape & Fill Duo,"$13.50
sale
$27.00 Reg.",/product/prd-5077934/brow-harmony-shape-fill-duo.jsp?color=Blonde&prdPV=19
GXVE I'm Still Here Longwear Clean Matte Liquid Lipstick,"$12.00
sale
$24.00 Reg.",/product/prd-5638371/im-still-here-longwear-clean-matte-liquid-lipstick.jsp?color=Fishnets&prdPV=20
Rare Beauty by Selena Gomez Stay Vulnerable Liquid Eyeshadow,"$10.00
sale
$20.00 Reg.",/product/prd-5077939/stay-vulnerable-liquid-eyeshadow.jsp?color=Nearly Neutral&prdPV=21
GXVE Eye See in Color Clean Multidimensional Eyeshadow Palette,"$14.00
sale
$28.00 Reg.",/product/prd-5638401/eye-see-in-color-clean-multidimensional-eyeshadow-palette.jsp?color=Rich Girl&prdPV=22
SEPHORA COLLECTION Makeup Match Foundation Brush,"$8.50
sale
$17.00 Reg.",/product/prd-5278000/makeup-match-foundation-brush.jsp?prdPV=23
Fenty Skin Thicc N Smooth Rich Peptide Eye Cream,"$21.00
sale
$42.00 Reg.",/product/prd-6146690/thicc-n-smooth-rich-peptide-eye-cream.jsp?prdPV=24
Maison Margiela 'REPLICA' Jazz Club Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-5142346/replica-jazz-club-scented-candle.jsp?prdPV=25
Maison Margiela 'REPLICA' By The Fireplace Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-5142338/replica-by-the-fireplace-scented-candle.jsp?prdPV=26
Maison Margiela 'REPLICA' Lazy Sunday Morning Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-5142343/replica-lazy-sunday-morning-scented-candle.jsp?prdPV=27
Viktor&Rolf Good Fortune Eau de Parfum,"$48.50 - $90.00
sale
$97.00 - $180.00 Reg.",/product/prd-5550706/good-fortune-eau-de-parfum.jsp?prdPV=28
GXVE Original Me Clean High-Performance Matte Lipstick,"$13.00
sale
$26.00 Reg.",/product/prd-5638368/original-me-clean-high-performance-matte-lipstick.jsp?color=Original Me&prdPV=29
Urban Decay Brow Beater Waterproof Brow Pencil & Spoolie,"$12.00
sale
$24.00 Reg.",/product/prd-5127207/brow-beater-waterproof-brow-pencil-spoolie.jsp?color=Cafe Kitty&prdPV=30
GXVE Hella On Point Clean Ultra-Fine Brow Pencil,"$12.00
sale
$24.00 Reg.",/product/prd-5638389/hella-on-point-clean-ultra-fine-brow-pencil.jsp?color=1&prdPV=31
GXVE Most Def Clean Instant Definition Sculpting Eyebrow Pencil,"$12.00
sale
$24.00 Reg.",/product/prd-5638400/most-def-clean-instant-definition-sculpting-eyebrow-pencil.jsp?color=5&prdPV=32
ONE/SIZE by Patrick Starrr Lip Snatcher Hydrating Liquid Lipstick and Lip Gloss Duo,"$14.00
sale
$28.00 Reg.",/product/prd-6081924/lip-snatcher-hydrating-liquid-lipstick-and-lip-gloss-duo.jsp?color=Trade Finder&prdPV=33
Maison Margiela 'REPLICA' On a Date Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-6106677/replica-on-a-date-scented-candle.jsp?prdPV=34
Viktor&Rolf Good Fortune Elixir,"$71.00 - $90.00
sale
$142.00 - $180.00 Reg.",/product/prd-6477712/good-fortune-elixir.jsp?prdPV=35
OLEHENRIKSEN Glow Cycle Retin-ALT Power Serum,"$30.00
sale
$60.00 Reg.",/product/prd-5077990/glow-cycle-retin-alt-power-serum.jsp?prdPV=36
SEPHORA COLLECTION Essential Eye Makeup Brush Set,"$14.50
sale
$29.00 Reg.",/product/prd-5245242/essential-eye-makeup-brush-set.jsp?prdPV=37
Maison Margiela 'REPLICA' Beach Vibes Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-5142342/replica-beach-vibes-scented-candle.jsp?prdPV=38
GXVE Eye See In Sparkle Clean Multi-Dimensional Glitter Eyeshadow,"$12.00
sale
$24.00 Reg.",/product/prd-5903576/eye-see-in-sparkle-clean-multi-dimensional-glitter-eyeshadow.jsp?color=Dazzle&prdPV=39
MAKE UP FOR EVER Artist Color Eye Shadow,"$9.50
sale
$19.00 Reg.",/product/prd-5074327/artist-color-eye-shadow.jsp?color=M853 Neon Pink&prdPV=40
GXVE Anaheim Shine Clean High-Performance Satin Lipstick,"$13.00
sale
$26.00 Reg.",/product/prd-5638370/anaheim-shine-clean-high-performance-satin-lipstick.jsp?color=Loara&prdPV=41
SEPHORA COLLECTION 3-in-1 Pencil Sharpener,"$3.00
sale
$6.00 Reg.",/product/prd-5161851/3-in-1-pencil-sharpener.jsp?prdPV=42
Dr. Dennis Gross Skincare Stress Rescue Super Serum with Niacinamide,"$37.00
sale
$74.00 Reg.",/product/prd-5060574/stress-rescue-super-serum-with-niacinamide.jsp?prdPV=43
Maison Margiela 'REPLICA' Bubble Bath Scented Candle,"$35.00
sale
$70.00 Reg.",/product/prd-5142334/replica-bubble-bath-scented-candle.jsp?prdPV=44
Viktor&Rolf Good Fortune Eau de Parfum Travel Spray,"$17.50
sale
$35.00 Reg.",/product/prd-5550696/good-fortune-eau-de-parfum-travel-spray.jsp?prdPV=45
GXVE Paint It Up Clean 24-Hr Cream Eyeshadow,"$10.00
sale
$20.00 Reg.",/product/prd-6124016/paint-it-up-clean-24-hr-cream-eyeshadow.jsp?color=Bounding Shoes&prdPV=46
Viktor&Rolf Good Fortune Elixir Travel Spray,"$17.50
sale
$35.00 Reg.",/product/prd-6628462/good-fortune-elixir-travel-spray.jsp?prdPV=47
GXVE Pick It Up Cream Contour & Talc-Free Powder Bronzer Duo,"$14.00
sale
$28.00 Reg.",/product/prd-6230927/pick-it-up-cream-contour-talc-free-powder-bronzer-duo.jsp?color=Heat Wave&prdPV=48
GXVE Pout to Get Real Clean Overlining Lip Liner,"$11.00
sale
$22.00 Reg.",/product/prd-5828094/pout-to-get-real-clean-overlining-lip-liner.jsp?color=Say Whtvr&prdPV=49
SEPHORA COLLECTION Silicone Scalp Massager,"$6.00
sale
$12.00 Reg.",/product/prd-5105951/silicone-scalp-massager.jsp?prdPV=50
MAKE UP FOR EVER Rouge Artist Shine On Lipstick,"$12.50
sale
$25.00 Reg.",/product/prd-5073466/rouge-artist-shine-on-lipstick.jsp?color=132 Cheerful Beige&prdPV=51
Youth To The People Kombucha + 11% AHA Exfoliation Toner with Lactic Acid,"$21.00
sale
$42.00 Reg.",/product/prd-5077710/kombucha-11-aha-exfoliation-toner-with-lactic-acid.jsp?prdPV=52
Dr. Dennis Gross Skincare Stress SOS Eye Cream with Niacinamide,"$32.50
sale
$65.00 Reg.",/product/prd-5060573/stress-sos-eye-cream-with-niacinamide.jsp?prdPV=53
Ralph Lauren Polo Earth,"$35.00
sale
$70.00 Reg.",/product/prd-5585149/polo-earth.jsp?prdPV=54
SEPHORA COLLECTION Makeup Match Powder Brush,"$9.50
sale
$19.00 Reg.",/product/prd-5277999/makeup-match-powder-brush.jsp?prdPV=55
Maison Margiela 'REPLICA' Mini Candle Trio Set,"$42.50
sale
$85.00 Reg.",/product/prd-6106678/replica-mini-candle-trio-set.jsp?prdPV=56
MAKE UP FOR EVER Ultra HD Matte Setting Powder,"$19.50
sale
$39.00 Reg.",/product/prd-5073460/ultra-hd-matte-setting-powder.jsp?color=50 Sienna&prdPV=57
Maison Margiela REPLICA' Mini Lazy Sunday Morning Scented Candle,"$19.00
sale
$38.00 Reg.",/product/prd-5840880/replica-mini-lazy-sunday-morning-scented-candle.jsp?prdPV=58
SEPHORA COLLECTION Purifying Scalp Serum AHA + Zinc,"$9.00
sale
$18.00 Reg.",/product/prd-5876201/purifying-scalp-serum-aha-zinc.jsp?prdPV=59
fresh Umbrian Clay Pore Purifying Face Mask,"$30.00
sale
$60.00 Reg.",/product/prd-5097183/umbrian-clay-pore-purifying-face-mask.jsp?prdPV=60
GXVE All Time Prime Clean Hydrating Prep & Smooth Face Oil,"$24.00
sale
$48.00 Reg.",/product/prd-5667656/all-time-prime-clean-hydrating-prep-smooth-face-oil.jsp?prdPV=61
Velour Lashes Lash & Go Eyeliner 3-in-1 Eyeliner + Magnetic Lash Adhesive,"$10.00
sale
$20.00 Reg.",/product/prd-5015476/lash-go-eyeliner-3-in-1-eyeliner-magnetic-lash-adhesive.jsp?prdPV=62
Kiehl's Since 1851 Epidermal Re-Texturizing Micro-Dermabrasion,"$23.50
sale
$47.00 Reg.",/product/prd-5130745/epidermal-re-texturizing-micro-dermabrasion.jsp?prdPV=63
Kiehl's Since 1851 Clearly Corrective Accelerated Clarity & Renewing Ampoules,"$49.00
sale
$98.00 Reg.",/product/prd-5130739/clearly-corrective-accelerated-clarity-renewing-ampoules.jsp?prdPV=64
GXVE Xtra Sauce Longwear Vinyl Liquid Lipstick,"$12.00
sale
$24.00 Reg.",/product/prd-5688701/xtra-sauce-longwear-vinyl-liquid-lipstick.jsp?prdPV=65
Drybar Cure Liqueur Restorative Pre-Shampoo Treatment Oil,"$17.50
sale
$35.00 Reg.",/product/prd-5075781/cure-liqueur-restorative-pre-shampoo-treatment-oil.jsp?prdPV=66
SEPHORA COLLECTION False Eyelash Applicator,"$6.00
sale
$12.00 Reg.",/product/prd-5105944/false-eyelash-applicator.jsp?prdPV=67
SEPHORA COLLECTION Mini Rose Quartz Facial Roller,"$6.00
sale
$12.00 Reg.",/product/prd-5833267/mini-rose-quartz-facial-roller.jsp?prdPV=68
